ea,skema,min_prob,total_cycles,pb_cancelled,pb_nofill,l0,l1,l2,l3,l4,l5,l6,l0_pct,l6_pct,deepest,mean_dd,median_dd,p95_dd,max_dd,resolved_pct,unresolved,avg_bars,est_profit
XAU_Phase1,A (prob 0.35),0.35,6096,0,0,3824,1265,458,228,118,63,140,62.72965879265092,2.2965879265091864,6,172.28955380577426,1.9149999999999636,123.19999999999959,78631.98999999999,99.83595800524935,10,6.588746719160105,18258.0
XAU_Phase1,B (prob 0.45),0.45,5642,0,0,3558,1158,432,205,99,54,136,63.062743707905,2.410492733073378,6,200.70388514711095,1.830000000000041,121.23349999999952,143648.37000000005,99.78730946472882,12,6.861751152073733,16890.0
XAU_Phase1,C (prob 0.55),0.55,2484,0,0,1698,485,143,67,32,17,42,68.35748792270532,1.6908212560386473,6,102.0420370370372,1.3950000000002092,67.52349999999515,43571.10000000002,99.9194847020934,2,5.249597423510467,7446.0
XAU_Phase1_Reversal,A (prob 0.35),0.35,5620,0,0,3168,1476,520,195,90,54,117,56.37010676156584,2.0818505338078293,6,230.05560854092528,2.785000000000082,98.97749999999651,128462.97999999998,99.7864768683274,12,7.237366548042704,16824.0
XAU_Phase1_Reversal,B (prob 0.45),0.45,5307,0,0,2966,1403,490,193,79,57,119,55.888449218013946,2.24232146221971,6,241.89844356510267,2.9099999999998545,101.89700000000018,128462.97999999998,99.75504051253063,13,7.4759751271905035,15882.0
XAU_Phase1_Reversal,C (prob 0.55),0.55,1275,0,0,648,344,122,61,32,20,48,50.8235294117647,3.7647058823529407,6,422.8503607843135,3.8300000000001546,340.8329999999871,112744.18999999994,99.68627450980392,4,10.514509803921568,3813.0
XAU_PullBack,A (prob 0.35),0.35,3081,6924,313,1749,675,332,134,65,46,80,56.76728334956182,2.596559558584875,6,209.02063895228375,2.8075894016001257,163.58596248800404,123717.26460496256,99.83771502758844,5,8.50113599480688,9228.0
XAU_PullBack,B (prob 0.45),0.45,3078,6935,298,1749,674,331,134,65,46,79,56.82261208576998,2.566601689408707,6,207.6510173386587,2.805148338899926,158.32144114014054,123717.26460496256,99.83755685510071,5,8.489603638726445,9219.0
XAU_PullBack,C (prob 0.55),0.55,3072,6937,296,1744,673,331,134,65,46,79,56.770833333333336,2.571614583333333,6,208.05339909378452,2.817066371799683,158.51010818639855,123717.26460496256,99.83723958333334,5,8.4970703125,9201.0
XAU_PullBack_Reversal,A (prob 0.35),0.35,3371,7408,326,2340,635,207,68,40,20,61,69.4156036784337,1.809552061702759,6,149.49399148711964,1.3258501000000251,54.719357654598525,104940.4940067121,99.79234648472264,7,7.506377929397805,10092.0
XAU_PullBack_Reversal,B (prob 0.45),0.45,3367,7397,318,2336,635,207,68,40,20,61,69.37926937926939,1.8117018117018115,6,149.6849051523028,1.3280226898000365,54.770426033078365,104940.4940067121,99.7920997920998,7,7.503118503118503,10080.0
XAU_PullBack_Reversal,C (prob 0.55),0.55,3363,7403,316,2336,632,207,68,40,19,61,69.46179006839131,1.8138566755872734,6,149.7186271888993,1.3245552620001035,54.57091940701886,104940.4940067121,99.79185251263752,7,7.504014272970562,10068.0
