prob,step_pts,total_cycles,deepest,l0_pct,l1_pct,l2_pct,l3_pct,l4_pct,l5_pct,l6_pct,l6_count,mean_dd,median_dd,p95_dd,max_dd
0.35,350,7095,6,60.74700493305144,21.01479915433404,7.963354474982381,3.7773079633544753,2.1141649048625792,1.3107822410147991,3.072586328400282,218,288.383028893587,1.8399999999996908,171.84399999999704,135950.59000000003
0.45,350,6837,6,61.57671493345034,20.53532250987275,7.766564282580079,3.9929793769197017,2.120813222173468,1.1262249524645311,2.8813807225391255,197,260.1001111598654,1.699999999999818,145.37399999999977,135950.59000000003
0.55,350,2446,6,65.86263286999183,20.564186426819298,6.050695012264922,3.025347506132461,1.4309076042518398,0.8994276369582993,2.1668029435813576,53,220.82315617334442,1.4150000000000773,84.25500000000318,66198.38
0.35,400,7461,6,63.43653665728455,20.426216324889428,7.3046508510923465,3.5652057364964485,1.8496180136710898,1.0990483849349955,2.3187240316311484,173,230.86540008041817,1.7899999999999636,126.01000000000113,128550.60999999993
0.45,400,7128,6,64.02918069584736,19.921436588103255,7.365319865319865,3.633557800224467,1.781705948372615,0.9399551066217734,2.3288439955106623,166,212.00054292929292,1.6900000000000546,116.28500000000214,128550.60999999993
0.55,400,2535,6,68.28402366863905,19.566074950690336,5.877712031558185,2.6824457593688362,1.26232741617357,0.6706114398422091,1.6568047337278107,42,100.13096252465499,1.4299999999998363,63.949999999999044,43571.10000000002
0.35,450,7245,6,65.47964113181504,19.199447895100068,7.2187715665976535,3.2160110420979984,1.4630779848171154,0.966183574879227,2.4568668046928916,178,245.8677336093857,1.680000000000291,119.96999999999787,128229.60999999993
0.45,450,6918,6,65.7126337091645,19.13847932928592,7.2708875397513735,3.2090199479618384,1.3732292570106968,0.9395779126915295,2.3561723041341427,163,235.64460537727663,1.6000000000000227,110.74500000000455,128229.60999999993
0.55,450,2450,6,69.79591836734694,18.16326530612245,6.0,2.4489795918367347,1.0204081632653061,0.5714285714285714,2.0,49,130.80366530612253,1.4800000000000182,62.281999999997375,43250.10000000002
